,funds,link,location,title
368,"
$3,105 raised of $5,000                    ",https://www.gofundme.com/help-bill-join-ok-bar-assn, ,Help Bill Join OK Bar Assn.
369,"
$3,704 raised of $5,000                    ",https://www.gofundme.com/jenetoDNC,"Colorado Springs, CO",Send Delegate Jene' to Philly DNC
370,"
$2,000 raised of $2,500                    ",https://www.gofundme.com/gift-for-ron-fox,"Snohomish, WA",Buy Back Ron's old Momento
371,"
$2,307 raised of $50,000                    ",https://www.gofundme.com/FreeBernieDVD,"San Francisco, CA",Mass-produce FreeBernieDVD in CA NJ
372,"
$2,150 raised of $25,000                    ",https://www.gofundme.com/chris-kolski-memorial,"Anaheim, CA",Chris Kolski Memorial
373,"
$8,140 raised of $7,000                    ",https://www.gofundme.com/protest-in-dc-without-traveling-there,"Palo Alto, CA",Protest in DC without traveling there!
374,"
$1,976 raised of $5,000                    ",https://www.gofundme.com/w8e89-help-me-study-at-university-of-minnesota,"Washington, DC",Help me study at University of Minnesota
375,"
$1,640 raised of $1,530                    ",https://www.gofundme.com/antitrumpad,"Fair Lawn, NJ",Let's Run an Anti-Trump Ad
376,"
$11,780 raised of $15,000                    ",https://www.gofundme.com/DadBrainTumor,"Redondo Beach, CA",UPDATE-Brain Tumor Medical Cost
377,"
$1,540 raised of $10,000                    ",https://www.gofundme.com/the-james-connolly-social-club,"Troy, NY",The James Connolly Social Club
378,"
$1,835 raised of $5,000                    ",https://www.gofundme.com/archiveraiding,"Amesbury, MA",#TrumpRussia archive raiding
379,"
$3,700 raised of $10,000                    ",https://www.gofundme.com/2d48ru4,"Maryville, TN",Muslims 4 Liberty National Outreach
380,"
$540 raised of $10,000                    ",https://www.gofundme.com/heather-and-trahern039s-miracle-ivf-fund,"Melfa, VA",Heather and Trahern's Miracle IVF Fund
381,"
$1,187 raised of $10,000                    ",https://www.gofundme.com/fight-facebook-censorship,"Atlanta, GA",Fight Facebook Censorship
382,"
$1,646 raised of $5,000                    ",https://www.gofundme.com/sbuqh68c,"Lakeland, FL",**Project Write-In Bernie Sanders**
383,"
$1,545 raised of $2,000                    ",https://www.gofundme.com/vote-indiana-register-5-campaign,"Indianapolis, IN",Vote Indiana - Register 5 Campaign
384,"
$2,207 raised of $5,000                    ",https://www.gofundme.com/RNCMedics,"Stevensville, MT",Rustbelt Street Medics RNC Response
385,"
$2,595 raised of $2,500                    ",https://www.gofundme.com/VP2020,"Williston, FL",Voter Protection 2020: MAKE EVERY VOTE COUNT
386,"
$1,061 raised of $2,000                    ",https://www.gofundme.com/progressives-everywhere,"New York, NY",Progressives Everywhere
387,"
$365 raised of $100,000                    ",https://www.gofundme.com/resistance-media-legal-fees,"Falls Church, VA",Mike Stark's Resistance Media Legal Costs
388,"
$3,153 raised of $9,500                    ",https://www.gofundme.com/support-truthdig039s-coverage-at-the-usmex-border,"Santa Monica, CA",Support Truthdig's Coverage at the U.S.-Mex Border
389,"
$1,603 raised of $10,000                    ",https://www.gofundme.com/4-dimensions-one-body-music-video,"New York, NY",4 Dimensions [Music Video]
390,"
$1,915 raised of $20,000                    ",https://www.gofundme.com/ip2xb4,"Austin, TX",Freedom comes with a price?
391,"
$560 raised of $1,000                    ",https://www.gofundme.com/phoenix-yang-gang-volunteer-fundraiser,"Phoenix, AZ",Phoenix Yang Gang  Fundraiser
392,"
$805 raised of $100,000                    ",https://www.gofundme.com/samuel-williams-for-congress,"El Paso, TX",Keep Texas Red in 2020
393,"
$1,575 raised of $5,000                    ",https://www.gofundme.com/lindaandlarrytogether,"Washington, DC",Linda & Larry Drain (Love Reunited)
394,"
$2,768 raised of $5,000                    ",https://www.gofundme.com/253er3zw,"Seattle, WA",Chad to Philadelphia for Bernie
395,"
$2,649 raised of $6,000                    ",https://www.gofundme.com/lawson2016,"Tampa, FL",Lawson For Commission Campaign
396,"
$4,460 raised of $5,000                    ",https://www.gofundme.com/eikekrebs,"Saint Joseph, MI",Eike Krebs Memorial Fund
397,"
$5,852 raised of $20,000                    ",https://www.gofundme.com/SaveOurAngel,"Seattle, WA",Save Our Angel! Angel's Shoe Repair
398,"
$4,125 raised of $10,000                    ",https://www.gofundme.com/ncgop,"Raleigh, NC",Orange County NCGOP Arson Repair
399,"
$2,400 raised of $5,000                    ",https://www.gofundme.com/loveonGelgots,"Lititz, PA",Love offering for the Gelgot family
400,"
$2,043 raised of $2,000                    ",https://www.gofundme.com/EdHall2016DNC,"Denver, CO",Support Ed Hall to the 2016 DNC
401,"
$5,603 raised of $20,000                    ",https://www.gofundme.com/4rsrs-help-patriot-vera-anderson,"Phoenix, AZ",HELP PATRIOT VERA  ANDERSON
402,"
$1,493 raised of $2,000                    ",https://www.gofundme.com/recipe-for-a-sellout-fundraising-campaign,"Brooklyn, NY",Recipe for a Sellout Fundraising Campaign
403,"
€3,158 raised of €5,000                    ",https://www.gofundme.com/meetrefugees,"APO, US",Refugees of Steinenbronn
404,"
$985 raised of $4,000                    ",https://www.gofundme.com/women039s-campaign-school,"Lake Bluff, IL",Women's Campaign School
405,"
$1,730 raised of $48,000                    ",https://www.gofundme.com/save-america-from-fake-news,"Eugene, OR",Save  America  from  FAKE  NEWS !
406,"
€255 raised of €500                    ",https://www.gofundme.com/CMac4Sligo, ,MacManus for Sligo
407,"
$1,805 raised of $40,000                    ",https://www.gofundme.com/mother039s-liver-transplant,"Des Plaines, IL",Help needed for Mother's Liver Transplant
408,"
$2,266 raised of $4,000                    ",https://www.gofundme.com/letsstand,"San Antonio, TX",Help Us Stand With Standing Rock!
409,"
$1,190 raised of $4,000                    ",https://www.gofundme.com/stop-tax-increase,"Ringgold, GA",Stop Catoosa Tax Increase
410,"
$3,790 raised of $5,000                    ",https://www.gofundme.com/JackBelltoRNC,"Olympia, WA",Jack Bell RNC Delegate to Cleveland
411,"
$2,120 raised of $12,000                    ",https://www.gofundme.com/fergusongriffin-legal-defense-fund,"Lynchburg, VA",Ferguson-Griffin Legal Defense Fund
412,"
$2,105 raised of $15,000                    ",https://www.gofundme.com/doctors-at-the-border,"Frisco, TX",Doctors at the Border
413,"
$3,820 raised of $5,000                    ",https://www.gofundme.com/fkyw2-jesus,"Toledo, OH",Kristi's Campaign
414,"
$1,665 raised of $35,000                    ",https://www.gofundme.com/2pb9mxms,"Los Angeles, CA",Together Until The End
415,"
$1,410 raised of $5,000                    ",https://www.gofundme.com/tracy-taylor-for-mayor,"Albany, GA",Tracy Taylor For Mayor
416,"
$7,870 raised of $100,000                    ",https://www.gofundme.com/zp6g8w,"Papaaloa, HI",Fighting for Cooper!
417,"
$1,640 raised of $2,000                    ",https://www.gofundme.com/dennistocleveland,"Raleigh, NC",Help Send Dennis to Cleveland!
418,"
$2,267 raised of $3,400                    ",https://www.gofundme.com/FloridaBlackPower,"Saint Petersburg, FL",Help Florida Vote 4 Black Power!
419,"
$5,050 raised of $37,755                    ",https://www.gofundme.com/2016Conventions,"Brush Valley, PA",IUP Experiences Democracy in Action
420,"
$1,790 raised of $2,750                    ",https://www.gofundme.com/2a77x3p2,"Redmond, OR",Bernie Delegate Matthew Rock ! ! !
421,"
$2,590 raised of $2,900                    ",https://www.gofundme.com/vwukc,"Lakewood, WA",Get This Veteran  To The RNC
422,"
$2,195 raised of $2,500                    ",https://www.gofundme.com/mullen-lisle-township-supervisor,"Lisle, IL",Committee to Elect Mary Jo Mullen
423,"
$5,775 raised of $15,000                    ",https://www.gofundme.com/OMalleyTheMovie,"Los Angeles, CA",O'MALLEY - A USC MFA Thesis Film
424,"
$1,775 raised of $3,800                    ",https://www.gofundme.com/rnc2016,"Mesquite, TX",Get this RNC Delegate to Cleveland
425,"
$1,221 raised of $3,000                    ",https://www.gofundme.com/239wnn8,"Spanaway, WA",Help Send Kerry to Cleveland!!
426,"
$160 raised of $10,000                    ",https://www.gofundme.com/losing-site-amp-use-of-my-arms-amp-legs,"Commerce, TX",ENDLESS PAIN TO MY ARMS LEGS & EYES
427,"
$13,738 raised of $25,000                    ",https://www.gofundme.com/occupythesenate,"Los Angeles, CA",Occupy the Senate: Save Healthcare
428,"
$1,863 raised of $3,000                    ",https://www.gofundme.com/adamforbernie,"Orlando, FL",Send Delegate Adam to Philly!
429,"
$2,260 raised of $4,000                    ",https://www.gofundme.com/CoronadoRNC,"Aubrey, TX",Coronado to RNC National Convention
430,"
$1,800 raised of $1,800                    ",https://www.gofundme.com/Micheal4Bernie2016,"Denver, CO",Taking the Revolution to Philly.
431,"
$1,749 raised of $20,000                    ",https://www.gofundme.com/harvard-kennedy-school-expenses,"Cornelius, NC",Harvard Kennedy School Expenses
432,"
$625 raised of $12,000                    ",https://www.gofundme.com/kv7vwn-my-journey,"Webster, New Hampshire",My journey
433,"
$200 raised of $200                    ",https://www.gofundme.com/the-results-international-conference,"Topeka, KS",The RESULTS International Conference
434,"
$135 raised of $1,200                    ",https://www.gofundme.com/smith-college-trip-to-belfast-and-dublin,"Northampton, MA",Smith College Trip to Belfast and Dublin
435,"
$1,085 raised of $2,000                    ",https://www.gofundme.com/erictodnc,"Dickinson, TX",Support Eric Cardenas' Trip to DNC!
436,"
$2,405 raised of $3,000                    ",https://www.gofundme.com/defeat-cm-roy-moore,"Pacific Palisades, CA",DEFEAT CM ROY MOORE
437,"
$100 raised of $10.0M                    ",https://www.gofundme.com/bkzy6m-american-party,"Charleston, SC","Let's start a new political party,  American Party"
438,"
$1,721 raised of $2,286                    ",https://www.gofundme.com/verchinski,"Albuquerque, NM",Verchinski NM BernieDelegateFunding
439,"
$450 raised of $2,000                    ",https://www.gofundme.com/1qg80anx80,"Baker City, OR",✨ Helping The Homeless 1 Person at a Time ✨
440,"
$4,720 raised of $5,000                    ",https://www.gofundme.com/wende,"Florence, OR",Wende's Recovery Fund
441,"
$1,985 raised of $1,700                    ",https://www.gofundme.com/FTDHarrington,"Portland, OR",Michael Harrington Convention Whip
442,"
$550 raised of $500                    ",https://www.gofundme.com/6n8p114,"Sioux Falls, SD",CPAC
443,"
$1,634 raised of $1,000                    ",https://www.gofundme.com/cwuz9b2g,"Lincoln, NE",Nebraskans Against Gun Violence
444,"
$2,815 raised of $2,500                    ",https://www.gofundme.com/86onv0,"Philadelphia, PA",Support fair elections in Ukraine
445,"
$201 raised of $2,000                    ",https://www.gofundme.com/newspaper-publishing-chuck-eddy-essay,"Lexington, KY",Newspaper publishing Chuck Eddy Essay
446,"
$735 raised of $1,000                    ",https://www.gofundme.com/laugh-in-your-face-radio,"Spring Valley, CA",Laugh In Your Face Radio
447,"
$320 raised of $25,000                    ",https://www.gofundme.com/democracy-in-detroit,"Las Vegas, NV",Democracy in Detroit
448,"
$270 raised of $500                    ",https://www.gofundme.com/send-jason-to-sas,"Dayville, CT",Send Jason to SAS
449,"
$1,622 raised of $1,500                    ",https://www.gofundme.com/support-third-party-ballot-access,"San Francisco, CA",Support Third Party Ballot Access!
450,"
$2,570 raised of $3,000                    ",https://www.gofundme.com/PEBLclimatetrip,"Lee, MA",PEBLing for a Carbon Free Future
451,"
$4,850 raised of $30,000                    ",https://www.gofundme.com/FairfieldSafeMeters,"Fairfield, IA",Stop Smart Meter Rollouts
452,"
$1,390 raised of $2,000                    ",https://www.gofundme.com/troy039s-birthday-fundraiser-for-socal-blue,"Venice, CA",Troy's Birthday Fundraiser for SoCal Blue
453,"
$1,305 raised of $1,500                    ",https://www.gofundme.com/dnc-watch-summer-2019,"Edmond, WV",DNC Watch - Summer 2019
454,"
$871 raised of $3,000                    ",https://www.gofundme.com/bella-scampaign,"New York, NY",To Infinity and Beyond!
455,"
$3,150 raised of $7,000                    ",https://www.gofundme.com/flip-ca-25-in-2018,"Lancaster, CA",Flip CA 25 in 2018
456,"
$580 raised of $30,000                    ",https://www.gofundme.com/scottsproject,"Hastings, MI",Scottsproject-BlueWave2020
457,"
$4,610 raised of $3,500                    ",https://www.gofundme.com/AtlantaWelcomesYou,"Atlanta, GA",Atlanta Speaks: Refugees Welcome!
458,"
$4,575 raised of $25,000                    ",https://www.gofundme.com/Stop-Election-Fraud-w-Audits,"San Diego, CA",Citizen Audits Stop Election Fraud
459,"
$2,185 raised of $20,000                    ",https://www.gofundme.com/simiyus-family-medical-fund,"Tampa, FL",Simiyu’s Family Medical Fund
460,"
$265 raised of $1,000                    ",https://www.gofundme.com/handmaids-resistance-phoenix,"Chandler, AZ",Support Handmaids Resistance PHX
461,"
$1,550 raised of $10,000                    ",https://www.gofundme.com/mary-anne-greer-memorial-fund,"Franktown, CO",Mary Anne Greer Memorial Fund
462,"
$1,230 raised of $10,000                    ",https://www.gofundme.com/let-nelson-stay,"Philadelphia, PA",Let Nelson Stay
463,"
$1,730 raised of $2,000                    ",https://www.gofundme.com/flowerpens,"Charlotte, NC",Spread Peace @ RNC w cute pens
464,"
$825 raised of $2,000                    ",https://www.gofundme.com/friends-of-susan-r-hogg,"Lynchburg, VA",Friends of Susan R Hogg
465,"
$1,390 raised of $5,000                    ",https://www.gofundme.com/united-latino-foundation,"Torrance, CA",United Latino Foundation
466,"
$1,700 raised of $15,000                    ",https://www.gofundme.com/ccl-cainland-young-adult-travelship,"Portland, OR",CCL CA-Inland Young Adult Travelship
467,"
$972 raised of $48,000                    ",https://www.gofundme.com/go-green-cities,"Pukalani, HI",Go Green Cities
468,"
$1,540 raised of $50,000                    ",https://www.gofundme.com/vttt58s4, ,Venezuelan researchers / LASA 50
469,"
$1,875 raised of $3,000                    ",https://www.gofundme.com/jamesformayor,"Westbrook, ME",James for Mayor
470,"
$3,740 raised of $4,500                    ",https://www.gofundme.com/1m24yn2eeo,"Port Saint Lucie, FL",In need of a helping hand
471,"
$3,486 raised of $5,000                    ",https://www.gofundme.com/AOBJpromo,"San Diego, CA",Against Our Better Judgment Promo
472,"
$90 raised of $8.0M                    ",https://www.gofundme.com/reclaiming-the-republic,"Nine Mile Falls, WA",Reclaiming The Republic
473,"
$1,535 raised of $10,000                    ",https://www.gofundme.com/JonesForCongress,"Philadelphia, PA",PA-2nd (R) Candidate For Congress
474,"
$5,857 raised of $6,500                    ",https://www.gofundme.com/bogaty,"Greensboro, NC",Bogaty for a Trump-Free America
475,"
$1,890 raised of $1,750                    ",https://www.gofundme.com/2aa7ds2k,"State College, PA",Peter goes to the DNC
476,"
$175 raised of $10,000                    ",https://www.gofundme.com/educating-children-in-dominican-rep,"Bronx, NY",Educating children in Dominican Rep
477,"
$145 raised of $1,899                    ",https://www.gofundme.com/the-kick-off-to-2020,"Discovery Bay, CA",The Kick Off to 2020
478,"
$11,200 raised of $25,000                    ",https://www.gofundme.com/jeff-hower-family-memorial-fund,"Central City, NE",Jeff Hower Family Memorial Fund
479,"
$2,342 raised of $2,500                    ",https://www.gofundme.com/RunningToBeatIssa,"Palos Verdes Peninsula, CA",OC Marathoning to Beat Issa!
480,"
$2,365 raised of $5,000                    ",https://www.gofundme.com/electbergman,"Waukee, IA",Friends of Anna Bergman - HD 44
481,"
$1,506 raised of $100,000                    ",https://www.gofundme.com/Fl-Citizens--Right-To-Petition-Legal-Defense-Fund,"Ocala, FL",FL CITIZENS RIGHT TO  PETITION  Legal Defense Fund
482,"
$1,497 raised of $12,000                    ",https://www.gofundme.com/countrybeforeparty,"Beacon, NY",Make GOP Put Country Before Party
483,"
$2,227 raised of $4,500                    ",https://www.gofundme.com/treyv,"Snohomish, WA",Send Delegate Trey to Philly
484,"
$465 raised of $250,000                    ",https://www.gofundme.com/mr-eric-garner039s-family-help-fund,"Staten Island, NY",Scholarship and Unity Fund in Honor of Eric Garner
485,"
$7,376 raised of $10,000                    ",https://www.gofundme.com/a9nwgk,"Santa Clara, CA",Kiem Nguyen Memorial Fund
486,"
$2,008 raised of $4,000                    ",https://www.gofundme.com/2au6tfxc,"Los Angeles, CA",Tony Puryear Colors The Conventions
487,"
$574 raised of $250,000                    ",https://www.gofundme.com/we-the-people-will-fight-the-fake-news,"Helotes, TX",We the people will fight the Fake News
488,"
$2,832 raised of $10,000                    ",https://www.gofundme.com/help-adam-bring-attention-to-grifters,"Harrisburg, PA",Help Adam Bring Attention To Grifters
489,"
$3,949 raised of $5,000                    ",https://www.gofundme.com/heart_in_heartland,"Satellite Beach, FL",Future Teacher to Study Abroad
490,"
$3,000 raised of $3,000                    ",https://www.gofundme.com/gopkat,"Dale, TX",National Convention Delegate
491,"
$1,901 raised of $4,000                    ",https://www.gofundme.com/david-dunn039s-memorial-costs,"Chicopee, MA",David Dunn's Memorial Costs
492,"
$2,200 raised of $10,000                    ",https://www.gofundme.com/syrianschool,"Saint Charles, MO",Syrian Refugee School Children
493,"
$3,205 raised of $5,000                    ",https://www.gofundme.com/kenallendemoconv,"Omaha, NE",Democratic Nat'l Conv Delegate
494,"
$2,600 raised of $5,000                    ",https://www.gofundme.com/WestonInaugurationtrip,"Wheat Ridge, CO",#MAGA 2017 Inauguration  Trip
495,"
$1,604 raised of $2,000                    ",https://www.gofundme.com/LarrySipes,"Mercer, TN","Larry Sipes, County Commissioner"
496,"
$3,000 raised of $6,000                    ",https://www.gofundme.com/arisha-bartkevich-motor-alalia,"San Jose, CA",Help Arisha Start Talking
497,"
$5,212 raised of $150,000                    ",https://www.gofundme.com/maga-sponsorship,"Fort Myers, FL",Trump/MAGA ProSkater Olympics fund
498,"
$3,000 raised of $3,000                    ",https://www.gofundme.com/ryderhaag,"Reno, NV",Help send Ryder Haag to GOP Conv.
499,"
$2,580 raised of $2,500                    ",https://www.gofundme.com/25rge98,"Friday Harbor, WA",Send Judah to GOP Nat'l Convention
500,"
$3,445 raised of $3,395                    ",https://www.gofundme.com/7ct4f5yg,"Springfield, VA",Andrea's 2017 Inauguration Summit
501,"
$1,440 raised of $30,000                    ",https://www.gofundme.com/helpfornilufar,"Philadelphia, PA",Помогите!  Help!
502,"
$1,605 raised of $10,000                    ",https://www.gofundme.com/rpb3k7-legal-fees,"Lexington, VA",Legal Fees for Ginger Burg
503,"
$2,050 raised of $50,000                    ",https://www.gofundme.com/retirement-fund-for-polly, ,Retirement Fund for Polly
504,"
$4,370 raised of $3,000                    ",https://www.gofundme.com/WillRiemer,"Farmington, CT",Reception to Honor Will Riemer
505,"
$8,365 raised of $20,000                    ",https://www.gofundme.com/WarriorsUNA,"Florence, AL",A Home for a Wounded Hero
506,"
$1,610 raised of $2,000                    ",https://www.gofundme.com/25nvnh8,"Saint Paul, MN",Chris Rush to the RNC convention
507,"
$2,437 raised of $200,000                    ",https://www.gofundme.com/CounterAntiTrump-Protesters,"Miami, FL",Help Counter AntiTrump Protest
508,"
$13,210 raised of $10,000                    ",https://www.gofundme.com/terrell-lewis-memorial-fund,"Washington, DC",Terrell Lewis Memorial Fund
509,"
$1,570 raised of $16,800                    ",https://www.gofundme.com/on-target-radio-2vf5yxw,"Shorewood, IL",On Target Radio
510,"
$3,430 raised of $10,000                    ",https://www.gofundme.com/2ddyamyj,"La Farge, WI",Writing in Stone
511,"
$825 raised of $2,200                    ",https://www.gofundme.com/harriet-movie-challenge-aurora,"Centennial, CO",Harriet Movie Challenge Aurora
512,"
$2,510 raised of $4,000                    ",https://www.gofundme.com/2byc9ms,"Greenwood, SC",SC radio host Anne Eller to RNC
513,"
$4,325 raised of $4,800                    ",https://www.gofundme.com/helping-hands-at-powdermill-village,"Braintree, MA",Helping Hands at Powdermill Village
514,"
$840 raised of $1,000                    ",https://www.gofundme.com/bricks-and-mortars,"Belfast, ME",Bricks and Mortars
515,"
$3,430 raised of $5,000                    ",https://www.gofundme.com/emiliemitcham,"Denver, CO",Emilie Mitcham Bernie Delegate DNC
516,"
$2,441 raised of $10,000                    ",https://www.gofundme.com/2m3sx3ys,"Hillsboro, MO",Governor Fletcher House Maint Fund
517,"
$21,693 raised of $25,277                    ",https://www.gofundme.com/tonyasfreedomfund,"Trenton, MO",Tonya's Freedom Fund (Tonya Arndt)
518,"
$1,570 raised of $25,000                    ",https://www.gofundme.com/syrian-refugees-return-to-philly,"Philadelphia, PA",Support Syrian Families Return
519,"
$1,375 raised of $1,300                    ",https://www.gofundme.com/JimTerr,"Las Vegas, NM",Help finish amazing CHICKEN... film
520,"
$608 raised of $15,000                    ",https://www.gofundme.com/matt-mcarthur-for-congress,"Spur, TX",Matt McArthur for Congress
521,"
$3,040 raised of $3,500                    ",https://www.gofundme.com/help-chelsea-not-face-detransition,"New York, NY",Help Chelsea Not Face Detransition!
522,"
$3,525 raised of $250,000                    ",https://www.gofundme.com/helptheblind,"Discovery Bay, CA",Medical Fund to Help the Blind See
523,"
$465 raised of $500                    ",https://www.gofundme.com/6u0pq40,"Centereach, NY",BAN's 2019 Brookhaven Blue Training Rally
524,"
$2,985 raised of $4,000                    ",https://www.gofundme.com/waynetornc,"Portland, OR",Wayne Trosino to the RNC Convention
525,"
$1,725 raised of $2,500                    ",https://www.gofundme.com/274srg44,"Ruckersville, VA",MAKE A CHANGE TOGETHER IN CLEVELAND
526,"
$2,765 raised of $4,000                    ",https://www.gofundme.com/jvgjkn64,"Ashland, VA",Ireland Study Abroad Trip
527,"
$2,135 raised of $5,000                    ",https://www.gofundme.com/2016Mk5k,"Council Grove, KS",2016 Katie Gant Scholarship Fund
528,"
$345 raised of $900                    ",https://www.gofundme.com/2stgae-medical-misson-trip,"Landing, NJ",Medical Misson Trip
529,"
$140 raised of $850                    ",https://www.gofundme.com/sendMeToDSANationalConventionInAtlanta,"Fresno, CA",Help Me Go To DSA's National Convention in Atlanta
530,"
$3,415 raised of $15,000                    ",https://www.gofundme.com/cernekee-google,"Mountain View, CA",Google whistleblower FIRED and SUED
531,"
$3,645 raised of $4,000                    ",https://www.gofundme.com/RasmussenFlorida,"Asbury Park, NJ",2018 Florida Midterm Elections
532,"
$534 raised of $1,300                    ",https://www.gofundme.com/invest-in-lena039s-madeleine039s-leadership,"Philadelphia, PA",Invest in Lena's (Madeleine) Leadership
533,"
$860 raised of $1,600                    ",https://www.gofundme.com/y2b5e5-dominican-republic-medical-mission,"Philadelphia, PA",Dominican Republic Medical Mission
534,"
$7,116 raised of $10,000                    ",https://www.gofundme.com/ccl-conservative-ca-travelship,"Berkeley, CA",CCL Inland CA Student Travelship
535,"
$1,571 raised of $1,500                    ",https://www.gofundme.com/peter-douche-parody-site,"West Sacramento, CA",DoucheLeaks - Media Parody Site
536,"
$1,775 raised of $1,500                    ",https://www.gofundme.com/rcbrazosgop,"College Station, TX",Rachel's National Convention Fund
537,"
$462 raised of $1,000                    ",https://www.gofundme.com/dnc-watch-puerto-rico,"Edmond, WV",DNC Watch - Puerto Rico Livestream
538,"
$1,900 raised of $5,000                    ",https://www.gofundme.com/free-vietnamese-against-trump,"San Diego, CA",Vietnamese Americans Against Trumpism
539,"
$1,500 raised of $3,000                    ",https://www.gofundme.com/2s4454fg,"Ahoskie, NC",Flood Recovery for Brenda Frick
540,"
$835 raised of $2,500                    ",https://www.gofundme.com/west-nile-virus-it-bites,"Tallahassee, FL",West Nile Virus - It Bites
541,"
$7,225 raised of $250,000                    ",https://www.gofundme.com/urbanvoters,"Dallas, TX",SHOP TALK WITH  URBAN VOTERS
542,"
$1,690 raised of $1,500                    ",https://www.gofundme.com/hsgc-saftey,"Red Wing, MN",HSGC Safety
543,"
$900 raised of $7,000                    ",https://www.gofundme.com/brad039s-campaign-for-cancer-research-institute,"Stevensville, MD",Brad's campaign for Cancer Research Institute
544,"
$1,930 raised of $2,000                    ",https://www.gofundme.com/joy-lonnes-goes-to-ccl-congress-day,"Santa Rosa, CA",Joy Lonnes Goes to CCL Congress Day
545,"
$2,645 raised of $2,600                    ",https://www.gofundme.com/4d6ywmrs,"Kane, PA",Terry's Medical & Funeral Cost Help
546,"
$150 raised of $550                    ",https://www.gofundme.com/send-me-to-crnc-convention,"Oviedo, FL",Send me to CRNC Convention!
547,"
$75 raised of $35,000                    ",https://www.gofundme.com/stand-with-stan-for-montco-controller,"Flourtown, PA",Stand With Stan for MontCO Controller
548,"
$2,260 raised of $1,575                    ",https://www.gofundme.com/mission-trip-ministering-to-homeless-in-san-diego,"Vienna, VA",Peter's Mission: Minister 2 San Diego Homeless
549,"
$275 raised of $4,600                    ",https://www.gofundme.com/immigration-reform-committee,"Allentown, PA",Immigration Reform Committee
550,"
$125 raised of $5,000                    ",https://www.gofundme.com/2x2u6-speaker-fund,"Charleston, IL",Speaker Fund
551,"
$2,000 raised of $2,000                    ",https://www.gofundme.com/22qrnfmx,"Saint Louis, MO",Send Engage Liberty To Cleveland
552,"
$70 raised of $900                    ",https://www.gofundme.com/fh9wvz-mission-trip,"Madison, GA",Mission Trip
553,"
$221 raised of $350                    ",https://www.gofundme.com/american-flags-for-911-remembrance-display,"Traverse City, MI",American Flags for 9/11 Remembrance Display
554,"
$1,800 raised of $1,500                    ",https://www.gofundme.com/2mfc54s,"Satellite Beach, FL",Truck Stop Tarmac
555,"
$640 raised of $1,000                    ",https://www.gofundme.com/beyond-race-and-color,"Phoenix, AZ",Beyond Race and Color
556,"
$4,770 raised of $25,000                    ",https://www.gofundme.com/johnhorstforcongress,"San Diego, CA",Let's Win Again in California
557,"
$1,525 raised of $2,500                    ",https://www.gofundme.com/28y884ws,"Boise, ID",Megan Kiska Goes to Cleveland!
558,"
$1,853 raised of $1,800                    ",https://www.gofundme.com/SacCCLCaptoCap,"Sacramento, CA",My Climate Lobbying Trip to D.C.
559,"
$2,365 raised of $5,000                    ",https://www.gofundme.com/hall4house9,"Monticello, AR",Hall4House9
560,"
$2,135 raised of $75,000                    ",https://www.gofundme.com/tjtr4w-the-craig-lee-city-council-campaign,"Shreveport, LA",The Craig Lee City Council Campaign
561,"
$400 raised of $7,000                    ",https://www.gofundme.com/Help-DE-Students-Learn-the-Constitution,"Wilmington, DE","A Republic, If You Can Keep It!"
562,"
$5,991 raised of $30,000                    ",https://www.gofundme.com/gop-state-committee,"Hoboken, NJ",GOP State Committee
563,"
$6,060 raised of $250,000                    ",https://www.gofundme.com/dashboard-equal-justice-under-the-law-share-editlink-menu-1,"Roseville, MI",Young Mom in Serious Car Accident
564,"
$165 raised of $10,000                    ",https://www.gofundme.com/oh-give-me-a-home,"Wilton, ND",Oh Give Me A Home
565,"
$100 raised of $100.0M                    ",https://www.gofundme.com/samrobb-for-president-2020,"Tarentum, PA",Samrobb For President 2020
566,"
$30 raised of $100,000                    ",https://www.gofundme.com/vote-them-out,"Kansas City, MO",Vote them out
567,"
$4,175 raised of $5,000                    ",https://www.gofundme.com/VJA4Superintendent,"Delmar, NY",Anastasi for Highway Superintendent
568,"
$1,920 raised of $75,000                    ",https://www.gofundme.com/DianeHollandStatue,"Tomball, TX",Diane N. Holland Community Memorial
569,"
$2,175 raised of $2,000                    ",https://www.gofundme.com/vn34c-college-tuition,"Bellvue, CO",College Fees for Kiana Palmer class of 2020
570,"
$260 raised of $500                    ",https://www.gofundme.com/cosby2019,"Adamsville, AL",Cosby For Exec. VP of AL Young Democrats
571,"
$25 raised of $10.0M                    ",https://www.gofundme.com/havearichassfriend,"Mastic, NY",Have a Rich Ass Friend
572,"
$45 raised of $5.0M                    ",https://www.gofundme.com/f-the-wall-help-CA-fire-victims,"Annapolis, MD","F*** the Wall, help CA wildfire victims"
573,"
$2,186 raised of $5,000                    ",https://www.gofundme.com/standwithjoe2016,"Callahan, FL",Stand With Joe For Nassau County
574,"
$3,350 raised of $3,500                    ",https://www.gofundme.com/hqo4tk,"Media, PA",Sam's Climate Truth Ride
575,"
$750 raised of $5,000                    ",https://www.gofundme.com/KERRYS-HOPE,"Evansville, IN",KERRY'S HOPE
576,"
$2,900 raised of $8,000                    ",https://www.gofundme.com/bob-de-kinder-navy-vet-amp-civil-servant-funeral,"Albuquerque, NM","Bob De Kinder, Navy Vet & Civil Servant Funeral"
577,"
$220 raised of $15,000                    ",https://www.gofundme.com/exodus-media-network,"Cincinnati, OH",Exodus Media Network
