,funds,link,location,title
43,"
$75 raised of $500                    ",https://www.gofundme.com/wu-college-gop-fundraiser,"Topeka, KS",WU College Republicans Fundraiser
44,"
$100 raised of $8.0M                    ",https://www.gofundme.com/any-republican-but-rob-portman,"Hamilton, OH",Any Republican but Rob Portman!
45,"
$50 raised of $1,000                    ",https://www.gofundme.com/7rv3k-help-me-go-to-washington-dc,"Coral Springs, Florida",Republican Leaders Washington DC trip.
46,"
$20 raised of $500                    ",https://www.gofundme.com/oregon-republicans-threatened-w-arrest,"Hillsboro, OR",Oregon Republicans threatened w/ arrest.
47,"
$10 raised of $2,000                    ",https://www.gofundme.com/democratic-women-running-in-a-republican-male-area,"Syracuse, NY",First Time Running For Office
48,"
$10 raised of $700                    ",https://www.gofundme.com/dominican-republican-mission-trip,"Bay City, MI",Dominican Republican Mission Trip
49,"
$5 raised of $500                    ",https://www.gofundme.com/madison-county-al-republican-party,"Huntsville, AL",Madison County (AL) Republican Party
50,"
$0 raised of $35,000                    ",https://www.gofundme.com/send-a-message-to-washington,"Melrose, MA",TO ALL REPUBLICANS IN OFFICE
51,"
$0 raised of $350,000                    ",https://www.gofundme.com/antirepublican-apparel,"Brooklyn, NY",anti-republican apparel
52,"
$0 raised of $250,000                    ",https://www.gofundme.com/republican-challenger-to-president-trump,"Dover, NH",Matthew Argall: A Presidential Bid
53,"
$0 raised of $29,000                    ",https://www.gofundme.com/help-move-2-republican-families-from-oregon,"Lebanon, OR",Get 11 Republican people out of oregon
54,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-umass-boston-college-republicans-attend-cpac,"Boston, MA",Help UMass Boston College Republicans attend CPAC!
55,"
$0 raised of $500,000                    ",https://www.gofundme.com/republicans-helping-gov039t-shutdown-employees,"Mesquite, NV",Republicans helping  Gov't shutdown employees
56,"
$0 raised of $1,000                    ",https://www.gofundme.com/wu-college-republicans-giving-tuesday,"Topeka, KS",WU College Republicans #Giving Tuesday
57,"
$0 raised of $100,000                    ",https://www.gofundme.com/w5x8ws,"San Diego, CA",i will never vote republican again
58,"
$0 raised of $5,200                    ",https://www.gofundme.com/educate-republican-senators-and-congressmen,"Plano, TX",Educate Republican Senators and Congressmen
59,"
$0 raised of $1,000                    ",https://www.gofundme.com/empowering-conservatives-lake-forest-college,"Lake Forest, IL",Empowering Conservatives @ Lake Forest College
60,"
$0 raised of $5,000                    ",https://www.gofundme.com/ndsu-college-republicans,"Fargo, ND",NDSU College Republicans
61,"
$0 raised of $20,000                    ",https://www.gofundme.com/disabled-republican-fund,"Kelso, TN",Disabled Republican fund
62,"
$0 raised of $150,000                    ",https://www.gofundme.com/a-reminder-to-republican-lawmakers-on-their-duty,"Brentwood, CA",Help me send a message to Republicans in Congress
63,"
$0 raised of $10,000                    ",https://www.gofundme.com/republican-wronfully-accused-in-blue-state,"Salinas, CA",Republican wronfully accused in Blue State
64,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-a-black-republican-out,"Albany, GA",Help a Black Republican Out
